何所	どこ
何故	なぜ
何方	どちら／どなた／どっち
何時	いつ
何某	なにがし
何等	なんら
何若	いかん
何首烏	つるどくだみ
余戸	あまりべ
余所	よそ
余所見	よそみ
余波	なごり
作物所	つくもどころ
佞人	ねじけびと
佩物	おもの／おびもの
佶屈い	ぎこちない
侍女	まかたち
侍婢	まかたち
侏儒	ひきひと
侘助	わびすけ
供奉	ぐぶ
供笥	くげ
依代	よりしろ
便尼	ペニー
俄国	ロシア
俎板	まないた
俘虜	とりこ
保加利亜	ブルガリア
保合	もちあい
俠気	おとこぎ
信天翁	あほうどり
信楽焼	しがらきやき
信濃	しなの
修二会	しゅにえ
修法	ずほう
修理職	しゅりしき
俱楽部	クラブ
俳優	わざおぎ
俾斯麦	ビスマルク
倉稲魂	うかのみたま
倍士児	バーゼル
倍根	ベーコン
倍良	べら
倒に	さかしまに
借問	しゃもん
倫勃朗	レンブラント
倫敦	ロンドン
倭塔瓦	オタワ
倭文	しず
倶生神	くしょうじん
偃松	はいまつ
停止	チョウジ
健児	こんでい
健駄羅	ガンダーラ
側女	そばめ
側妻	そばめ
側柏	このてがしわ
側次	そばつぎ
側金盞花	ふくじゅそう
偶偶	たまたま
偽瓢虫	てんとうむしだまし
傀儡	くぐつ／でく
傀儡子	くぐつ
傍目	はため
傑里烈遠	ガリレオ
傘松	こうやまき
備後表	びんごおもて
催合	もやい
傴僂	せむし
傾れる	なだれる
傾れ込む	なだれこむ
僂麻質斯	リウマチ
僕射	ぼくや
僧都	ソウズ
元宝草	ほとけのざ
兄矢	はや
兄部	このこうべ
兄鷂	このり
兄鷹	しょう
光一	ぴかいち
光参	きんこ
光桃	つばいもも
克勒巴都拉	クレオパトラ
兎唇	いぐち
兎子草	やぶれがさ
兜櫨樹	のぐるみ
入声	ニッショウ
入徳蘭	ユトランド
入梅	ついり
入水	じゅすい
入爾馬泥亜	ドイツ
入眼	ジュガン
入籠	いれこ
全人	まとうど
全手葉椎	まてばしい
八仙花	あじさい
八入	やしお
八十	やそ
八十路	やそじ
八吉打	バグダッド
八咫	やた
八哈剌因	バーレーン
八尺瓊曲玉	やさかにのまがたま
八岐大蛇	やまたのおろち
八州	やしま
八幡船	ばはんせん
八握	やつか
八方	やも
八束	やつか
八百万	やおよろず
八百屋	やおや
八百長	やおちょう
八節	やふ
八色の姓	やくさのかばね
八衢	やちまた
八角金盤	やつで
八面	やも
公孫樹	いちょう
公斯当丁	コンスタンチン
公方	くぼう
公果	コンゴ
公達	きんだち
公額	コンゴ
公験	くげん
公魚	わかさぎ
六指	むさし
六月菊	みやまよめな
六月雪	はくちょうげ
兵児帯	へこおび
其処	そこ
其処等	そこら
其奴	そいつ
其所	そこ
其方	そなた／そちら
其方此方	そちこち
其方退	そっちのけ
典侍	ないしのすけ
典薬頭	くすりのかみ
内匠	たくみ
内匠寮	たくみづかさ
内外	うちと
内官家	うちつみやけ
内歩	うちぶ
内法	うちのり
内臣	うちつおみ
内舎人	うどねり
内蔵寮	くらりょう／くらづかさ
内障	そこひ
円円	つぶつぶ
円居	まどい
円座	わろうだ
円舞曲	ワルツ
円規	コンパス
冊立	さくりゅう
冠る	かぶる
冠付	かむりづけ
冠卓	かんむりじょく
冠直衣	こうぶりのうし
冬瓜	とうがん
冬眠鼠	やまね
冬葱	わけぎ
冬薔薇	ふゆそうび
冬青	そよご
冷まじ	すさまじ
冷奴	ひややっこ
凄腕	すごうで
凌霄花	のうぜんかずら
凌霄葉蓮	のうぜんはれん
凝乳	クリーム
几褥	テーブルクロス
凡ゆる	あらゆる
凸凹	でこぼこ
凸柑	ぽんかん
出会す	でくわす
出師	すいし
出来	しゅったい
出汁	だし
出生	すいさん
出目是閑	でめぜかん
出石焼	いずしやき
出端	でばな
出雲	いずも
出頰	でづら
刀子	とうす
刀豆	なたまめ
分餅	へぎもち
切処	きれっと
切幣	きりぬさ
切節	きりよ
切籠	きりこ
切麻	きりぬさ
刑部省	ぎょうぶしょう
列卒	せこ
列寧	レーニン
列当	はまうつぼ
列敦士丁	リヒテンシュタイン
初中後	しょっちゅう
初冠	ういこうぶり
初切	しょっきり
初午	はつうま
初心	うぶ
初手水	はつちょうず
初東雲	はつしののめ
判官	じょう
別林郭	ベーリング
利比亜	リビア
利比利亜	リベリア
利篤謨斯	リトマス
利鎌	とがま
利馬	リマ
刳い	えぐい
刳形	くりかた
刳舟	くりふね
刷子	はけ
刷毛	はけ
刹帝利	クシャトリヤ
刺亀虫	さしがめ
刺椿象	さしがめ
刺楸	はりぎり
刺草	いらくさ
刺虫	いらむし
